CurrentTime,RealGazePos_x,RealGazePos_y,RealGazePos_z
21.74866,4.306006,1.738265,-35.93221
21.94865,3.912329,0.8197402,-36.06816
22.17866,1.955664,0.3907547,-36.54235
22.40866,4.025488,0.7685957,-36.07191
22.62865,5.442847,0.8801365,-36.111
22.85865,6.717139,0.8431233,-36.39772
23.05865,5.9719,0.7819529,-36.21924
23.25866,6.422217,0.8205204,-36.31748
23.45866,5.509863,1.340067,-36.04886
23.65866,5.11521,1.878527,-35.95467
23.85865,5.11521,1.878527,-35.95467
24.05865,5.12815,1.920032,-35.95362
24.25866,5.175147,1.582812,-35.98241
24.45866,5.153296,1.523474,-35.98609
24.65866,3.538306,1.351833,-36.01635
24.87865,5.32395,1.331671,-36.02595
25.07866,5.304663,1.566,-35.9977
25.27866,4.872412,1.526126,-35.96407
25.47866,4.842139,1.447743,-35.97057
25.69865,6.805396,1.415461,-36.33466
25.89865,5.247778,1.680052,-35.9813
26.09866,4.706397,2.424529,-35.91656
26.29866,5.056006,2.644715,-35.94344
26.49866,4.94895,2.991936,-35.95679
26.69865,4.969086,3.048384,-35.28394
26.89865,5.105764,2.878842,-34.42928
27.12865,3.858006,0.7149795,-33.25802
27.37865,4.040251,-0.4826505,-32.2808
27.57866,4.034919,-0.02488399,-31.13234
27.77866,3.560494,0.8684227,-29.90829
27.97866,2.844692,0.8596948,-28.9908
28.17866,2.708702,0.8342692,-28.8559
28.37865,2.223737,1.573708,-26.93821
28.57866,1.54288,1.530474,-26.06539
28.77866,1.229124,1.136756,-25.119
28.97866,3.881397,1.189767,-24.01682
29.19865,3.730834,1.064416,-22.94717
29.39865,4.392784,1.1693,-22.01942
29.59866,5.068264,1.477273,-21.08748
29.79866,6.394371,1.258569,-20.25802
30.02866,6.104228,1.574161,-19.01242
30.22866,6.138969,1.350549,-18.01086
30.42866,5.858785,1.623467,-16.93893
30.62865,5.84265,1.627223,-16.88692
30.83866,4.904225,2.3576,-14.76518
31.03865,5.017408,1.990392,-13.74297
31.23866,4.592624,1.537367,-12.76441
31.43866,4.593136,1.42168,-12.67266
31.63866,4.191307,1.463267,-10.73998
31.85865,3.012575,0.7854795,-9.865721
32.05865,4.156263,1.336434,-8.600149
32.25866,4.170276,1.686094,-7.55884
32.48866,6.406547,1.633712,-6.991704
32.70866,4.174952,1.59764,-6.741518
32.90866,4.251269,1.704206,-6.731073
33.11866,7.405873,1.877373,-7.302046
33.31866,7.191905,1.75733,-7.227101
33.51865,7.326208,1.546366,-7.297565
33.76865,3.285681,2.181949,-6.786513
33.96865,3.781371,1.891106,-6.742351
34.16866,3.782627,1.981698,-6.737889
34.36866,4.270517,2.008184,-6.713302
34.56866,4.298892,1.941482,-6.715821
34.76865,4.225976,2.003064,-6.714447
34.96865,4.237451,1.997206,-6.714401
35.16866,4.198643,1.999169,-6.715312
35.38866,7.245737,1.629393,-7.258063
35.61866,6.745586,1.330081,-7.119596
35.81866,5.993676,1.570908,-6.900735
36.01865,6.188283,1.702362,-6.931049
36.21865,6.06212,1.689488,-6.904379
36.41866,4.559926,1.268732,-6.777333
36.61866,4.564362,1.209268,-6.785575
36.81866,4.531898,1.001479,-6.817127
37.01865,4.658171,0.9385111,-6.830843
37.25866,6.155614,1.314382,-6.964582
37.45866,6.237085,1.303165,-6.984823
37.67865,4.266641,1.480659,-6.751886
37.87865,4.810386,1.060167,-6.816656
38.07866,5.126432,1.424423,-6.789138
38.27866,5.091022,1.641779,-6.764302
38.47866,5.077772,1.746034,-6.754898
38.67865,5.032278,1.840447,-6.744928
38.87865,5.065472,1.899724,-6.744143
39.07866,5.041067,1.273962,-6.800435
39.32866,3.618236,0.1422827,-7.050143
39.55865,4.60698,1.129172,-6.798285
39.75866,4.019549,1.233526,-6.790327
39.95866,4.04572,1.300132,-6.780133
40.15866,3.982556,1.293187,-6.784186
40.35865,3.970786,1.317249,-6.781708
40.60865,1.147184,1.517846,-7.445922
40.80865,3.215623,2.063888,-6.799748
41.00866,3.251479,2.175589,-6.791555
41.22866,3.876109,1.197888,-6.803686
41.45866,4.05875,1.828362,-6.728982
41.67865,6.054799,1.476784,-6.923096
41.87865,5.828432,1.266443,-6.904331
42.07866,5.240897,1.33631,-6.810867
42.27866,4.864738,1.285668,-6.786813
42.47866,4.805776,1.304749,-6.781124
42.67865,5.38201,1.378943,-6.821767
42.89865,6.563074,1.437423,-7.052617
43.10865,4.197293,1.78001,-6.727274
43.30865,4.253755,1.919776,-6.717713
43.50866,4.217432,2.391936,-6.708458
43.70866,4.15625,2.582721,-6.713991
43.90866,4.161969,2.553093,-6.712964
44.10865,4.161969,2.553093,-6.712964
44.32866,6.184122,0.9059041,-7.035496
44.52866,5.854299,1.018081,-6.94673
44.72866,5.24701,1.116934,-6.842132
44.92865,5.107662,1.249308,-6.809317
45.12865,5.108219,1.317056,-6.800426
45.32866,5.116587,1.297311,-6.803726
45.54866,3.485404,1.379633,-6.815835
45.74866,4.214103,1.802416,-6.725296
