CurrentTime,RealGazePos_x,RealGazePos_y,RealGazePos_z
1.268658,6.725195,0.9890121,-36.37295
1.278657,6.725195,0.9890121,-36.37295
1.288657,6.725195,0.9890121,-36.37295
1.298657,6.725195,0.9890121,-36.37295
1.308658,6.725195,0.9890121,-36.37295
1.318657,6.725195,0.9890121,-36.37295
1.328657,6.725195,0.9890121,-36.37295
1.338657,6.725195,0.9890121,-36.37295
1.348658,6.725195,0.9890121,-36.37295
1.358657,6.725195,0.9890121,-36.37295
1.368657,6.725195,0.9890121,-36.37295
1.378657,6.725195,0.9890121,-36.37295
1.388658,6.725195,0.9890121,-36.37295
1.398657,6.725195,0.9890121,-36.37295
1.408657,6.725195,0.9890121,-36.37295
1.418657,6.725195,0.9890121,-36.37295
1.428658,6.725195,0.9890121,-36.37295
1.438658,3.506201,0.8219326,-36.1035
1.448657,3.506201,0.8219326,-36.1035
1.458657,3.506201,0.8219326,-36.1035
1.468657,3.500952,0.8809173,-36.09299
1.478658,3.500952,0.8809173,-36.09299
1.488657,3.500952,0.8809173,-36.09299
1.498657,3.500952,0.8809173,-36.09299
1.508657,3.693091,0.8118762,-36.0863
1.518658,3.693091,0.8118762,-36.0863
1.528657,3.693091,0.8118762,-36.0863
1.538657,3.63645,0.6239576,-36.13035
1.548657,3.63645,0.6239576,-36.13035
1.558658,3.63645,0.6239576,-36.13035
1.568657,3.636084,0.6009967,-36.13545
1.578657,3.636084,0.6009967,-36.13545
1.588657,3.636084,0.6009967,-36.13545
1.598658,3.78794,0.5586236,-36.13153
1.608657,3.78794,0.5586236,-36.13153
1.618657,3.78794,0.5586236,-36.13153
1.628657,3.78794,0.5586236,-36.13153
1.638658,3.851782,0.4114209,-36.16162
1.648657,3.851782,0.4114209,-36.16162
1.658657,3.851782,0.4114209,-36.16162
1.668657,5.060034,0.6755803,-36.10984
1.678658,5.060034,0.6755803,-36.10984
1.688657,5.060034,0.6755803,-36.10984
1.698657,4.98728,0.6841079,-36.10218
1.708657,4.98728,0.6841079,-36.10218
1.718657,4.98728,0.6841079,-36.10218
1.728658,4.98728,0.6841079,-36.10218
1.738657,5.141089,0.703642,-36.1112
1.748657,5.141089,0.703642,-36.1112
1.758657,5.141089,0.703642,-36.1112
1.768658,5.058081,0.7380964,-36.09671
1.778657,5.058081,0.7380964,-36.09671
1.788657,5.058081,0.7380964,-36.09671
1.798657,5.109107,0.795429,-36.08971
1.808658,5.109107,0.795429,-36.08971
1.818657,5.109107,0.795429,-36.08971
1.828657,5.109107,0.795429,-36.08971
1.838657,5.722266,0.7679445,-36.17523
1.848658,5.722266,0.7679445,-36.17523
1.858657,5.722266,0.7679445,-36.17523
1.868657,6.740942,0.8881576,-36.39637
1.878657,6.740942,0.8881576,-36.39637
1.888658,6.740942,0.8881576,-36.39637
1.898657,6.740942,0.8881576,-36.39637
1.908657,6.756812,0.8563434,-36.40755
1.918657,6.756812,0.8563434,-36.40755
1.928658,6.756812,0.8563434,-36.40755
1.938657,6.688208,0.8832128,-36.3811
1.948657,6.688208,0.8832128,-36.3811
1.958657,6.688208,0.8832128,-36.3811
1.968657,6.627661,0.9423312,-36.35189
1.978658,6.627661,0.9423312,-36.35189
1.988657,6.627661,0.9423312,-36.35189
1.998657,6.627661,0.9423312,-36.35189
2.008657,6.506567,0.9644196,-36.31335
2.018658,6.506567,0.9644196,-36.31335
2.028657,6.506567,0.9644196,-36.31335
2.038657,6.484351,0.9659207,-36.30691
2.048657,6.484351,0.9659207,-36.30691
2.058658,6.484351,0.9659207,-36.30691
2.068657,6.255225,0.9839708,-36.24462
2.078657,6.255225,0.9839708,-36.24462
2.088657,6.255225,0.9839708,-36.24462
2.098658,6.255225,0.9839708,-36.24462
2.108657,6.189429,1.037689,-36.21972
2.118657,6.189429,1.037689,-36.21972
2.128657,6.189429,1.037689,-36.21972
2.138658,6.074927,1.000868,-36.20023
2.148657,6.074927,1.000868,-36.20023
2.158657,6.074927,1.000868,-36.20023
2.168657,5.998267,1.014699,-36.18167
2.178658,5.998267,1.014699,-36.18167
2.188657,5.998267,1.014699,-36.18167
2.198657,5.998267,1.014699,-36.18167
2.208657,5.984473,0.9887455,-36.18325
2.218657,5.984473,0.9887455,-36.18325
2.228658,5.984473,0.9887455,-36.18325
2.238657,5.87168,1.006625,-36.15788
2.248657,5.87168,1.006625,-36.15788
2.258657,5.87168,1.006625,-36.15788
2.268658,5.774878,1.050919,-36.13274
2.278657,5.774878,1.050919,-36.13274
2.288657,5.774878,1.050919,-36.13274
2.298657,5.750464,1.06343,-36.12647
2.308658,5.750464,1.06343,-36.12647
2.318657,5.750464,1.06343,-36.12647
2.328657,5.741675,1.06311,-36.12502
2.338657,5.741675,1.06311,-36.12502
2.348658,5.741675,1.06311,-36.12502
2.358657,5.730933,1.137702,-36.11139
2.368657,5.730933,1.137702,-36.11139
2.378657,5.386817,1.143218,-36.05964
2.388658,5.386817,1.143218,-36.05964
2.398657,5.386817,1.143218,-36.05964
2.408657,3.394629,1.116047,-36.06606
2.418657,3.394629,1.116047,-36.06606
