CurrentTime,HeadRot_x,HeadRot_y,HeadRot_z
2.598658,2.958,0,0
2.608657,2.958,0,0
2.618657,2.958,0,0
2.628657,2.958,0,0
2.638658,2.958,0,0
2.648657,2.958,0,0
2.658657,2.958,0,0
2.668657,2.958,0,0
2.678658,2.958,0,0
2.688657,2.958,0,0
2.698657,2.958,0,0
2.708657,2.958,0,0
2.718657,2.958,0,0
2.728658,2.958,0,0
2.738657,2.958,0,0
2.748657,2.958,0,0
2.758657,2.958,0,0
2.768658,2.958,0,0
2.778657,2.958,0,0
2.788657,2.958,0,0
2.798657,2.958,0,0
2.808658,2.958,0,0
2.818657,2.958,0,0
2.828657,2.958,0,0
2.838657,2.958,0,0
2.848658,2.958,0,0
2.858657,2.958,0,0
2.868657,2.958,0,0
2.878657,2.958,0,0
2.888658,2.958,0,0
2.898657,2.958,0,0
2.908657,2.958,0,0
2.918657,2.958,0,0
2.928658,2.958,0,0
2.938657,2.958,0,0
2.948657,2.958,0,0
2.958657,2.958,0,0
2.968657,2.958,0,0
2.978658,2.958,0,0
2.988657,2.958,0,0
2.998657,2.958,0,0
3.008657,2.958,0,0
3.018658,2.958,0,0
3.028657,2.958,0,0
3.038657,2.958,0,0
3.048657,2.958,0,0
3.058658,2.958,0,0
3.068657,2.958,0,0
3.078657,2.958,0,0
3.088657,2.958,0,0
3.098658,2.958,0,0
3.108657,2.958,0,0
3.118657,2.958,0,0
3.128657,2.958,0,0
3.138658,2.958,0,0
3.148657,2.958,0,0
3.158657,2.958,0,0
3.168657,2.958,0,0
3.178658,2.958,0,0
3.188657,2.958,0,0
3.198657,2.958,0,0
3.208657,2.958,0,0
3.218657,2.958,0,0
3.228658,2.958,0,0
3.238657,2.958,0,0
3.248657,2.958,0,0
3.258657,2.958,0,0
3.268658,2.958,0,0
3.278657,2.958,0,0
3.288657,2.958,0,0
3.298657,2.958,0,0
3.308658,2.958,0,0
3.318657,2.958,0,0
3.328657,2.958,0,0
3.338657,2.958,0,0
3.348658,2.958,0,0
3.358657,2.958,0,0
3.368657,2.958,0,0
3.378657,2.958,0,0
3.388658,2.958,0,0
3.398657,2.958,0,0
3.408657,2.958,0,0
3.418657,2.958,0,0
3.428658,2.958,0,0
3.438657,2.958,0,0
3.448657,2.958,0,0
3.458657,2.958,0,0
3.468657,2.958,0,0
3.478657,2.958,0,0
3.488657,2.958,0,0
3.498657,2.958,0,0
3.508657,2.958,0,0
3.518658,2.958,0,0
3.528657,2.958,0,0
3.538657,2.958,0,0
3.548657,2.958,0,0
3.558658,2.958,0,0
3.568657,2.958,0,0
3.578657,2.958,0,0
3.588657,2.958,0,0
3.598658,2.958,0,0
3.608657,2.958,0,0
3.618657,2.958,0,0
3.628657,2.958,0,0
3.638658,2.958,0,0
3.648657,2.958,0,0
3.658657,2.958,0,0
3.668657,2.958,0,0
3.678658,2.958,0,0
3.688657,2.958,0,0
3.698657,2.958,0,0
3.708657,2.958,0,0
3.718657,2.958,0,0
