CurrentTime,GazePos_x,GazePos_y
79.43865,0.505896,0.507958
79.63866,0.5012288,0.5064379
79.83865,0.4813594,0.5013543
80.03866,0.4779027,0.4994912
80.23866,0.4985873,0.4948992
80.43865,0.5002968,0.4941985
80.67866,0.3111764,0.5080543
80.87865,0.3485486,0.5077295
81.07865,0.3842799,0.4996263
81.27866,0.3743767,0.4864567
81.47865,0.3723685,0.4837515
81.68865,0.4741636,0.4658813
81.89865,0.5834539,0.5053589
82.14865,0.3572508,0.4986616
82.34866,0.3571525,0.4969984
82.59866,0.5578126,0.496373
82.79865,0.6149195,0.5058485
83.01865,0.5004096,0.500604
83.21865,0.4319732,0.4788395
83.41866,0.4472129,0.4895071
83.61865,0.4478201,0.4714536
83.81866,0.4521954,0.4790585
84.01865,0.4388266,0.474853
84.23866,0.5575557,0.5081412
84.43865,0.5396207,0.5085092
84.68865,0.3701422,0.5148463
84.88866,0.3551255,0.5183522
85.08865,0.3690157,0.5181978
85.31866,0.3939985,0.5191046
85.51865,0.3954534,0.5282855
85.71865,0.352132,0.5178016
85.91866,0.3768687,0.5121753
86.14865,0.5129337,0.5258527
86.37865,0.5895222,0.5607448
86.57865,0.5926983,0.559824
86.77866,0.594586,0.559208
86.98866,0.5176944,0.5027026
87.18865,0.512799,0.5051785
87.38866,0.5102544,0.5029789
87.59866,0.6034624,0.5425046
87.80865,0.5163568,0.5056727
88.00865,0.5153033,0.5055168
88.24866,0.7996366,0.5044609
88.48866,0.6433077,0.5265027
88.68865,0.5609914,0.514743
88.88866,0.5540103,0.528548
89.08865,0.5540103,0.528548
89.28866,0.5579252,0.5048272
89.48866,0.5723705,0.5105597
89.68865,0.560192,0.5149876
89.88866,0.5642272,0.5191227
90.08865,0.5609927,0.5180489
90.28866,0.5565906,0.5164789
90.48866,0.5547712,0.5155584
90.69865,0.4258781,0.5030533
90.89865,0.5617625,0.5186086
91.09866,0.5506104,0.5177325
91.29865,0.5524753,0.5166608
91.49866,0.5543787,0.5154155
91.69865,0.5562735,0.5165585
91.90865,0.524992,0.5481964
92.12865,0.5081533,0.5388988
92.34866,0.5537224,0.6279896
92.55865,0.5209147,0.5246779
92.76865,0.5254472,0.555911
92.96865,0.5228409,0.5453373
93.16866,0.5000417,0.5293031
93.36865,0.4996311,0.5261564
93.56866,0.5484324,0.5306567
93.78865,0.4856074,0.5467119
93.98866,0.4754392,0.5361888
94.18865,0.4579118,0.5291097
94.38866,0.4666992,0.5258899
94.59866,0.5207298,0.523281
94.79865,0.548447,0.5199059
94.99866,0.5479609,0.5207096
95.19865,0.5960032,0.5265916
95.40865,0.4738262,0.5145872
95.60866,0.4766731,0.5239801
95.80865,0.4757193,0.5231909
96.00865,0.4770844,0.524232
96.20866,0.5231006,0.5241356
96.40865,0.5539562,0.523802
96.60866,0.5612342,0.5240683
96.80865,0.5607044,0.5251262
97.00865,0.5614244,0.5234215
97.20866,0.5591063,0.5249308
97.40865,0.5552545,0.5265714
97.60866,0.4531797,0.5276
97.80865,0.4654368,0.4959958
98.00865,0.4449776,0.5221534
98.20866,0.4397049,0.5222628
98.44865,0.6475942,0.5409205
98.64865,0.6276773,0.52812
98.86865,0.446299,0.5066827
99.06866,0.4465537,0.5116357
99.26865,0.4485962,0.5074058
99.46865,0.4497067,0.5086492
99.66866,0.4510622,0.510528
99.86865,0.4439807,0.5125335
100.0687,0.4504423,0.511723
100.2687,0.4329412,0.513404
100.4987,0.4192376,0.5144431
100.6987,0.4725208,0.5081433
100.8987,0.4774552,0.4981257
101.0987,0.4770967,0.497017
101.2987,0.4824365,0.4967889
101.4987,0.4705237,0.4996515
101.7087,0.5772599,0.5111575
101.9087,0.5602967,0.5098501
102.1087,0.5662298,0.5108458
102.3087,0.5678285,0.5092506
102.5087,0.5641742,0.5081679
102.7187,0.4495635,0.4990944
102.9187,0.4523634,0.4969729
103.1187,0.4651705,0.5055077
103.3187,0.46991,0.4869555
103.5187,0.4731203,0.4927585
103.7187,0.4717722,0.4954863
103.9187,0.4669518,0.4932438
104.1287,0.5857506,0.5124512
104.3287,0.5850188,0.5069622
104.5287,0.583239,0.5056647
104.7287,0.5847356,0.5062221
104.9287,0.5845362,0.5038627
105.1287,0.5847216,0.5040492
105.3387,0.6655357,0.4973854
105.5387,0.5921838,0.4951756
105.7387,0.5576817,0.4990326
105.9387,0.5602937,0.4907404
106.1387,0.5576279,0.4882386
106.3387,0.5574466,0.4857863
106.5387,0.5617541,0.4962702
106.7387,0.582639,0.5261015
106.9387,0.540414,0.5300419
107.1387,0.5717621,0.5427855
107.3387,0.565522,0.5443096
107.5387,0.559004,0.547636
107.7387,0.5495436,0.5501339
107.9487,0.4624272,0.5188202
108.1587,0.5592055,0.561969
108.3687,0.4928524,0.4854542
108.5787,0.5856928,0.5330183
108.7787,0.6040732,0.5478505
108.9787,0.6098237,0.5462379
109.1787,0.6195465,0.5502547
109.4087,0.5010331,0.4935727
109.6087,0.5012943,0.4957336
109.8087,0.4992821,0.4993424
110.0087,0.4996321,0.4975139
110.2087,0.5033422,0.4956638
110.4187,0.5964934,0.5194614
110.6387,0.4905582,0.5069749
110.8487,0.3951649,0.501711
111.0787,0.4830495,0.5098931
111.3187,0.5612256,0.5341173
111.5387,0.5787793,0.5290163
111.7387,0.5767998,0.5111495
111.9387,0.5806281,0.5029594
112.1387,0.584381,0.4975163
112.3387,0.5940421,0.4950439
112.5387,0.6118652,0.5002226
112.7587,0.5220048,0.5250866
112.9687,0.6419591,0.5224581
113.1687,0.6055104,0.5219818
113.3687,0.6026219,0.5510696
113.5787,0.4831788,0.5112273
113.7787,0.5046147,0.5210017
113.9987,0.6485786,0.5261484
114.1987,0.6241446,0.5168083
114.3987,0.622474,0.5164896
114.5987,0.6231507,0.5151482
114.8087,0.5023118,0.5168281
115.0087,0.5010221,0.5151064
115.2087,0.5058718,0.516937
115.4087,0.5015081,0.5048388
115.6087,0.5274583,0.4842325
115.8087,0.5371752,0.4672003
116.0087,0.5373854,0.4673401
116.2087,0.5351993,0.4700891
116.4087,0.5384772,0.4758593
116.6087,0.537908,0.4840246
116.8087,0.5399024,0.4810605
117.0087,0.539672,0.4802252
117.2086,0.5400388,0.4777865
117.4087,0.5430978,0.4758134
117.6087,0.5451298,0.4786534
117.8087,0.5380378,0.487379
118.0186,0.4979939,0.49915
118.2386,0.2975335,0.5125666
118.4387,0.3770708,0.5254714
